fid,source,data_type,elev_ft,depth_ft,latitude,longitude
264,Map or Cross-Section,Water/Monitoring Well,58.279,42.0,40.915556,-73.909722
265,Map or Cross-Section,Water/Monitoring Well,191.93,50.0,40.918889,-73.866111
266,Map or Cross-Section,Water/Monitoring Well,34.7776,9.0,40.894444,-73.791111
267,Map or Cross-Section,Water/Monitoring Well,66.175,34.0,40.91,-73.781944
268,Map or Cross-Section,Water/Monitoring Well,-3.5749,60.0,40.919444,-73.7875
269,Map or Cross-Section,Water/Monitoring Well,-40.8811,55.0,40.936944,-73.901111
270,Map or Cross-Section,Water/Monitoring Well,114.425,0.0,40.928611,-73.843611
271,Map or Cross-Section,Water/Monitoring Well,186.16,40.0,40.978056,-73.877778
272,Map or Cross-Section,Water/Monitoring Well,223.016,3.0,40.976111,-73.842222
273,Map or Cross-Section,Water/Monitoring Well,139.839,101.0,40.999444,-73.838889
274,Map or Cross-Section,Water/Monitoring Well,33.074,160.0,40.998056,-73.841667
276,Map or Cross-Section,Water/Monitoring Well,138.613,7.0,40.864722,-73.7625
277,Map or Cross-Section,Water/Monitoring Well,126.182,10.0,40.952222,-73.766667
278,Map or Cross-Section,Water/Monitoring Well,169.951,10.0,40.965,-73.753056
279,Map or Cross-Section,Water/Monitoring Well,95.025,6.0,40.972222,-73.730833
280,Map or Cross-Section,Water/Monitoring Well,254.111,24.0,40.980833,-73.785556
281,Map or Cross-Section,Water/Monitoring Well,40.2719,15.0,40.984167,-73.672222
15,WPA,Construction Borehole,-170.0,183.66,40.713611,-73.952222
16,WPA,Construction Borehole,-133.0,152.22,40.710556,-73.954167
0,USGS/NWIS,Water/Monitoring Well,-356.0,401.0,40.638333,-73.979722
1,USGS/NWIS,Water/Monitoring Well,-387.0,429.29,40.631667,-73.970278
3,USGS/NWIS,Water/Monitoring Well,-573.0,578.82,40.578056,-73.988056
4,USGS/NWIS,Water/Monitoring Well,-374.0,397.3,40.638611,-73.948333
5,USGS/NWIS,Water/Monitoring Well,-278.0,353.48,40.663611,-73.960556
6,USGS/NWIS,Water/Monitoring Well,-445.0,467.32,40.641667,-73.929167
7,USGS/NWIS,Water/Monitoring Well,-350.0,382.98,40.664167,-73.938889
8,USGS/NWIS,Water/Monitoring Well,-297.0,357.95,40.6775,-73.930556
9,USGS/NWIS,Water/Monitoring Well,-170.0,201.8,40.707222,-73.944722
10,USGS/NWIS,Water/Monitoring Well,-162.0,173.37,40.718611,-73.9475
12,USGS/NWIS,Water/Monitoring Well,-26.0,39.99,40.733611,-73.955278
13,USGS/NWIS,Water/Monitoring Well,-107.0,105.6,40.720833,-73.965833
14,USGS/NWIS,Water/Monitoring Well,-155.0,182.63,40.714722,-73.967222
18,USGS/NWIS,Water/Monitoring Well,-150.0,182.67,40.706389,-73.954444
19,USGS/NWIS,Water/Monitoring Well,-140.0,194.32,40.704722,-73.959167
20,USGS/NWIS,Water/Monitoring Well,-138.0,154.98,40.703333,-73.960833
22,USGS/NWIS,Water/Monitoring Well,-164.0,174.29,40.697778,-73.970278
23,USGS/NWIS,Water/Monitoring Well,-128.0,161.04,40.696111,-73.965556
24,USGS/NWIS,Water/Monitoring Well,-110.0,143.81,40.695833,-73.965833
26,USGS/NWIS,Water/Monitoring Well,-105.0,150.53,40.694722,-73.973889
27,USGS/NWIS,Water/Monitoring Well,-77.0,154.54,40.691667,-73.977778
29,USGS/NWIS,Water/Monitoring Well,-118.0,150.35,40.696389,-73.975278
31,USGS/NWIS,Water/Monitoring Well,-77.0,115.25,40.7025,-73.985
32,USGS/NWIS,Water/Monitoring Well,-86.0,84.5,40.704444,-73.99
33,USGS/NWIS,Water/Monitoring Well,-75.0,127.85,40.700556,-73.987222
34,USGS/NWIS,Water/Monitoring Well,-54.0,112.88,40.698889,-73.985833
35,USGS/NWIS,Water/Monitoring Well,-87.0,158.51,40.698333,-73.995278
36,USGS/NWIS,Water/Monitoring Well,-81.0,111.54,40.696389,-73.985
37,USGS/NWIS,Water/Monitoring Well,-69.0,103.48,40.693333,-73.983889
38,USGS/NWIS,Water/Monitoring Well,-68.0,99.92,40.688611,-73.981389
39,USGS/NWIS,Water/Monitoring Well,-75.0,107.09,40.688611,-73.9825
40,USGS/NWIS,Water/Monitoring Well,-59.0,100.76,40.688056,-73.983333
