SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026191,4,NY0026191-004,NYCDEP - Hunt's Point WPCP,NYC DEP,Bronx River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.83826,-73.879339
NY0026247,34,NY0026247-034,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.768585,-74.001342
NY0027073,9,NY0027073-009,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.704342,-73.990766
NY0026191,18,NY0026191-018,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.811894,-73.824571
NY0026131,66,NY0026131-066,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.807988,-73.931844
NY0026204,22,NY0026204-022,NYCDEP - Newtown Creek WPCP,NYC DEP,Newtown Creek,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.738931,-73.952919
NY0027073,8,NY0027073-008,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.704914,-73.989718
NY0026191,28,NY0026191-028,NYCDEP - Hunt's Point WPCP,NYC DEP,Eastchester Bay,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.844128,-73.816645
NY0026204,7,NY0026204-007,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.720125,-73.9644
NY0026107,2,NY0026107-002,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.640039,-74.12347
