asset_id,gi_id,borough,sewer_type,asset_type,status,status_group,constructed_date,outfall,nyc_waters,latitude,longitude
102509,955E,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-11-18,TI-010,Flushing Creek,40.74302911772415,-73.78462904191748
122123,192,Bronx,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-04-28,HP-008,Bronx River,40.82279127853047,-73.8808182180484
138966,622B,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-12-15,TI-010,Flushing Creek,40.726847575171625,-73.78545189401663
141250,6016A,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-11-08,BB-009,Newtown Creek,40.74327968884474,-73.91481952027905
143542,GS1188D,Queens,Combined,ROWGS,Constructed (Full Maintenance),Constructed,2019-10-21,TI-011,Flushing Creek,40.76627304382714,-73.8174745641772
149226,5176F,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2019-11-08,BB-026,Newtown Creek,40.74099544905855,-73.93247455456381
160142,92A,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-05-25,OH-021,Coney Island Creek,40.60617180578173,-73.97363059750121
171017,GS1230B,Queens,Combined,ROWGS,Constructed (Full Maintenance),Constructed,2021-06-29,26W-005,Jamaica Bay and Tributaries,40.69035908086412,-73.8644743504583
172319,GS4025G,Brooklyn,Combined,ROWGS,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.6546543737637,-73.94254578241322
175477,1025e,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2024-12-23,CI-005,Jamaica Bay and Tributaries,40.666437738243005,-73.92849869410803
181483,RG01,Queens,Combined,Rain Garden,Constructed,Constructed,2024-12-17,TI-010,Flushing Creek,40.74305135141636,-73.81398517025595
181513,RG02,Queens,Combined,Rain Garden,Constructed,Constructed,2020-10-31,26W-005,Jamaica Bay and Tributaries,40.66046686206796,-73.85407204287903
