created_date,address,borough,status,latitude,longitude
2026-03-26 23:05:00,141-16 181 STREET,QUEENS,Open,40.6703359147,-73.76269977417
2026-03-26 21:41:00,176 BEACH   24 STREET,QUEENS,Open,40.59439916803,-73.75783855226
2026-03-26 21:14:00,146-28 227 STREET,QUEENS,Closed,40.65916638552,-73.75438483676
2026-03-26 19:21:00,146-28 227 STREET,QUEENS,Closed,40.65916638552,-73.75438483676
2026-03-26 19:19:00,70 COMMERCIAL STREET,BROOKLYN,Closed,40.73702890997,-73.95711349584
2026-03-26 18:09:00,,BROOKLYN,Closed,40.70154437823,-73.93836430223
2026-03-26 18:03:00,,BROOKLYN,Closed,40.68578040284,-73.95439171426
2026-03-26 17:41:00,226-17 147 AVENUE,QUEENS,Open,40.65863351288,-73.75549329727
2026-03-26 15:48:00,,BROOKLYN,Closed,40.68578040284,-73.95439171426
2026-03-26 15:45:00,,BROOKLYN,Open,40.69687178093,-73.92302388382
2026-03-26 14:43:00,2167 EAST   19 STREET,BROOKLYN,Closed,40.59793271253,-73.95234517012
2026-03-26 13:56:00,327 BRYANT AVENUE,BRONX,Open,40.80760313156,-73.88373143365
2026-03-26 13:41:00,90 CLAY STREET,BROOKLYN,Closed,40.73660811503,-73.95489457983
2026-03-26 13:10:00,130-64 229 STREET,QUEENS,Closed,40.68071745116,-73.73896798709
2026-03-26 12:53:00,70 COMMERCIAL STREET,BROOKLYN,Open,40.73702890997,-73.95711349584
2026-03-26 12:10:00,2200 WHITE PLAINS ROAD,BRONX,Closed,40.85789633197,-73.86757114406
2026-03-26 11:50:00,,BROOKLYN,Closed,40.68578040284,-73.95439171426
2026-03-26 11:48:00,,QUEENS,Closed,40.68959160209,-73.80732998105
2026-03-26 11:38:00,130-48 229 STREET,QUEENS,Closed,40.6809504613,-73.73883727926
2026-03-26 10:30:00,,QUEENS,Closed,40.74578614441,-73.88933211478
2026-03-26 10:11:00,1276 EAST    5 STREET,BROOKLYN,Open,40.61970791399,-73.97103900466
2026-03-26 09:29:00,,QUEENS,Closed,40.65648648104,-73.73418643064
2026-03-26 09:18:00,2177 EAST   19 STREET,BROOKLYN,Closed,40.59778173672,-73.95231647043
2026-03-26 09:10:00,966 104 STREET,BROOKLYN,Open,40.6460019449,-73.89426870347
2026-03-26 08:52:00,67-14 BURNS STREET,QUEENS,Closed,40.72278066561,-73.85560235146
2026-03-26 08:40:00,147-50 WELLER LANE,QUEENS,Closed,40.65607483243,-73.73421690361
2026-03-26 07:34:00,,QUEENS,Closed,40.65581407943,-73.73421794246
2026-03-26 07:34:00,361 EUCLID AVENUE,BROOKLYN,Closed,40.67906058891,-73.87304944069
2026-03-26 06:59:00,75-17 41 AVENUE,QUEENS,Closed,40.74534480038,-73.88991749125
2026-03-25 22:07:00,854 FLUSHING AVENUE,BROOKLYN,Open,40.70170597381,-73.93772218778
2026-03-25 21:08:00,67-11 BURNS STREET,QUEENS,Closed,40.72283017523,-73.85568522111
2026-03-25 20:06:00,167-17 METCALF AVENUE,QUEENS,Closed,40.74742366528,-73.8007819644
2026-03-25 19:50:00,,BROOKLYN,Closed,40.63536102564,-73.96040708542
2026-03-25 19:44:00,,QUEENS,Closed,40.67991422506,-73.73940738231
2026-03-25 19:39:00,254 SIMONSON AVENUE,STATEN ISLAND,Open,40.63045519139,-74.15242645131
2026-03-25 19:18:00,,QUEENS,Closed,40.74578614441,-73.88933211478
2026-03-25 19:17:00,90 CLAY STREET,BROOKLYN,Closed,40.73660811503,-73.95489457983
